time,period,temp_avg ,dewpt_avg ,hum_avg ,wind_avg ,pressure_avg 
1 ,1,69.7 ,63.5 ,80.8 ,8.9 ,30.0 
2 ,2,74.2 ,62.7 ,67.5 ,12.4 ,29.9 
3 ,3,75.4 ,65.1 ,70.1 ,12.6 ,29.8 
4 ,4,72.9 ,53.9 ,51.6 ,14.0 ,29.9 
5 ,5,71.0 ,51.1 ,50.1 ,14.6 ,30.0 
6 ,6,70.6 ,47.0 ,43.6 ,14.3 ,30.0 
7 ,7,67.3 ,44.2 ,44.8 ,5.8 ,30.1 
8 ,8,67.5 ,46.8 ,48.8 ,5.9 ,30.1 
9 ,9,67.8 ,52.4 ,58.1 ,6.2 ,30.0 
10 ,10,68.7 ,53.7 ,59.6 ,6.0 ,30.0 
11 ,11,69.3 ,51.0 ,52.5 ,5.8 ,30.1 
12 ,12,69.5 ,53.8 ,58.0 ,5.8 ,30.0 
13 ,13,69.4 ,57.8 ,67.5 ,5.3 ,30.0 
14 ,14,70.6 ,57.9 ,66.6 ,6.2 ,30.0 
15 ,15,74.3 ,54.7 ,52.6 ,9.1 ,29.9 
16 ,16,70.6 ,60.7 ,71.2 ,10.0 ,29.9 
17 ,17,73.4 ,61.3 ,67.3 ,8.8 ,29.9 
18 ,18,75.9 ,64.1 ,66.9 ,11.9 ,30.0 
19 ,19,74.0 ,65.5 ,74.5 ,7.4 ,30.0 
20 ,20,72.7 ,58.6 ,61.6 ,10.3 ,30.0 
21 ,21,66.8 ,46.2 ,47.7 ,25.0 ,30.0 
22 ,22,66.9 ,44.8 ,45.2 ,8.0 ,30.1 
23 ,23,66.0 ,49.1 ,55.1 ,7.9 ,30.0 
24 ,24,66.6 ,49.4 ,54.6 ,5.7 ,30.0 
25 ,25,68.5 ,54.8 ,61.8 ,6.3 ,30.0 
26 ,26,70.7 ,55.5 ,61.0 ,5.6 ,30.0 
27 ,27,72.0 ,55.0 ,56.1 ,8.0 ,30.0 
28 ,28,70.8 ,58.2 ,65.2 ,7.1 ,30.0 
29 ,29,70.2 ,57.1 ,64.3 ,6.3 ,30.1 
30 ,30,69.3 ,56.0 ,64.0 ,7.1 ,30.0 
31 ,31,70.4 ,56.3 ,62.0 ,5.7 ,30.0 
1 ,32,72.8 ,57.1 ,60.5 ,6.0 ,29.9 
2 ,33,70.1 ,56.3 ,62.5 ,7.3 ,30.0 
3 ,34,70.7 ,52.0 ,52.5 ,8.3 ,30.0 
4 ,35,71.7 ,53.1 ,52.8 ,5.9 ,29.9 
5 ,36,72.3 ,52.0 ,52.0 ,6.7 ,29.8 
6 ,37,71.6 ,53.0 ,52.6 ,16.0 ,29.9 
7 ,38,69.3 ,48.8 ,48.5 ,13.3 ,30.0 
8 ,39,69.8 ,51.7 ,52.7 ,10.6 ,30.0 
9 ,40,68.5 ,52.6 ,57.8 ,6.8 ,30.0 
10 ,41,70.3 ,54.7 ,60.5 ,6.2 ,30.0 
11 ,42,72.5 ,51.7 ,48.8 ,6.9 ,30.0 
12 ,43,73.8 ,50.5 ,46.0 ,7.5 ,29.9 
13 ,44,69.1 ,52.5 ,56.6 ,10.1 ,29.9 
14 ,45,68.4 ,50.6 ,53.1 ,8.0 ,29.9 
15 ,46,74.1 ,55.7 ,54.5 ,6.9 ,29.9 
16 ,47,72.7 ,57.6 ,60.5 ,9.1 ,29.9 
17 ,48,69.6 ,53.2 ,56.4 ,7.8 ,29.9 
18 ,49,69.0 ,56.5 ,66.4 ,6.8 ,29.9 
19 ,50,72.5 ,55.0 ,56.3 ,6.0 ,29.9 
20 ,51,76.3 ,53.0 ,45.6 ,7.8 ,29.9 
21 ,52,73.3 ,53.4 ,50.4 ,12.5 ,29.9 
22 ,53,71.0 ,55.8 ,59.4 ,11.6 ,29.9 
23 ,54,70.9 ,58.3 ,65.0 ,6.9 ,30.0 
24 ,55,69.6 ,60.3 ,74.2 ,5.7 ,30.0 
25 ,56,72.7 ,59.3 ,65.0 ,5.7 ,30.0 
26 ,57,76.4 ,53.4 ,49.5 ,6.8 ,29.9 
27 ,58,78.4 ,54.6 ,44.2 ,7.3 ,29.9 
28 ,59,76.6 ,62.2 ,61.8 ,7.0 ,30.0 
1 ,60,73.1 ,59.8 ,63.7 ,7.7 ,30.0 
2 ,61,71.0 ,60.3 ,69.4 ,8.0 ,30.0 
3 ,62,71.9 ,61.8 ,70.8 ,5.8 ,30.0 
4 ,63,77.2 ,55.1 ,53.3 ,7.4 ,29.9 
5 ,64,78.4 ,53.6 ,44.5 ,7.3 ,29.9 
6 ,65,77.8 ,56.8 ,50.0 ,6.2 ,29.9 
7 ,66,80.5 ,50.5 ,42.2 ,6.5 ,29.8 
8 ,67,85.3 ,50.9 ,31.5 ,10.3 ,29.8 
9 ,68,84.8 ,54.5 ,36.3 ,9.6 ,29.8 
10 ,69,85.4 ,50.8 ,31.8 ,7.8 ,29.8 
11 ,70,88.0 ,45.8 ,24.5 ,8.4 ,29.8 
12 ,71,87.5 ,48.9 ,29.2 ,7.8 ,29.8 
13 ,72,86.3 ,44.8 ,23.8 ,5.8 ,29.9 
14 ,73,85.1 ,52.6 ,36.6 ,6.5 ,29.9 
15 ,74,86.7 ,57.0 ,43.6 ,6.6 ,29.8 
16 ,75,87.0 ,51.4 ,34.2 ,7.3 ,29.8 
17 ,76,76.1 ,63.8 ,65.8 ,12.7 ,29.9 
18 ,77,72.5 ,56.9 ,58.7 ,12.9 ,29.9 
19 ,78,72.3 ,57.5 ,60.0 ,11.0 ,29.9 
20 ,79,72.8 ,60.9 ,67.0 ,8.0 ,29.8 
21 ,80,73.1 ,62.1 ,71.9 ,6.9 ,29.8 
22 ,81,78.2 ,59.9 ,56.6 ,6.2 ,29.8 
23 ,82,82.7 ,46.0 ,33.2 ,5.7 ,29.8 
24 ,83,84.8 ,46.0 ,28.7 ,6.3 ,29.8 
25 ,84,87.8 ,42.7 ,22.9 ,7.2 ,29.8 
26 ,85,81.8 ,61.9 ,53.4 ,8.0 ,29.9 
27 ,86,77.4 ,62.3 ,60.0 ,10.3 ,29.9 
